Count,Filename_0_0,Filename_0_1,Time_0_0,Time_0_1
103,D:/202412051/t1\t1-00000103_0.tif,D:/202412051/t1\t1-00000103_1.tif,426.620371,426.620612
104,D:/202412051/t1\t1-00000104_0.tif,D:/202412051/t1\t1-00000104_1.tif,426.720231,426.720564
105,D:/202412051/t1\t1-00000105_0.tif,D:/202412051/t1\t1-00000105_1.tif,426.820582,426.820858
106,D:/202412051/t1\t1-00000106_0.tif,D:/202412051/t1\t1-00000106_1.tif,426.920228,426.920818
107,D:/202412051/t1\t1-00000107_0.tif,D:/202412051/t1\t1-00000107_1.tif,427.020303,427.020788
108,D:/202412051/t1\t1-00000108_0.tif,D:/202412051/t1\t1-00000108_1.tif,427.120407,427.120856
109,D:/202412051/t1\t1-00000109_0.tif,D:/202412051/t1\t1-00000109_1.tif,427.220251,427.220860
110,D:/202412051/t1\t1-00000110_0.tif,D:/202412051/t1\t1-00000110_1.tif,427.320476,427.320763
111,D:/202412051/t1\t1-00000111_0.tif,D:/202412051/t1\t1-00000111_1.tif,427.420146,427.420687
112,D:/202412051/t1\t1-00000112_0.tif,D:/202412051/t1\t1-00000112_1.tif,427.520281,427.520761
113,D:/202412051/t1\t1-00000113_0.tif,D:/202412051/t1\t1-00000113_1.tif,427.620159,427.620587
114,D:/202412051/t1\t1-00000114_0.tif,D:/202412051/t1\t1-00000114_1.tif,427.720231,427.720580
115,D:/202412051/t1\t1-00000115_0.tif,D:/202412051/t1\t1-00000115_1.tif,427.820219,427.820490
116,D:/202412051/t1\t1-00000116_0.tif,D:/202412051/t1\t1-00000116_1.tif,427.920229,427.920374
117,D:/202412051/t1\t1-00000117_0.tif,D:/202412051/t1\t1-00000117_1.tif,428.020440,428.020675
118,D:/202412051/t1\t1-00000118_0.tif,D:/202412051/t1\t1-00000118_1.tif,428.120193,428.120651
119,D:/202412051/t1\t1-00000119_0.tif,D:/202412051/t1\t1-00000119_1.tif,428.220543,428.220748
120,D:/202412051/t1\t1-00000120_0.tif,D:/202412051/t1\t1-00000120_1.tif,428.320395,428.320804
121,D:/202412051/t1\t1-00000121_0.tif,D:/202412051/t1\t1-00000121_1.tif,428.420314,428.420901
122,D:/202412051/t1\t1-00000122_0.tif,D:/202412051/t1\t1-00000122_1.tif,428.520267,428.520800
